field,annotator_a,annotator_b,n_common,same,different,percent_agreement,cohen_kappa
Q1_question_understandability,human_aniruh,human_nfonsam,100,85,15,0.85,-0.0183
Q1_question_understandability,human_aniruh,llm_gemini-2.5-pro,100,96,4,0.96,-0.0152
Q1_question_understandability,human_aniruh,llm_gpt-4.1-mini,100,98,2,0.98,-0.0101
Q1_question_understandability,human_aniruh,llm_gpt-5.1,100,98,2,0.98,-0.0101
Q1_question_understandability,human_nfonsam,llm_gemini-2.5-pro,100,87,13,0.87,0.197
Q1_question_understandability,human_nfonsam,llm_gpt-4.1-mini,100,87,13,0.87,0.1174
Q1_question_understandability,human_nfonsam,llm_gpt-5.1,100,87,13,0.87,0.1174
Q1_question_understandability,llm_gemini-2.5-pro,llm_gpt-4.1-mini,100,98,2,0.98,0.4924
Q1_question_understandability,llm_gemini-2.5-pro,llm_gpt-5.1,100,96,4,0.96,-0.0152
Q1_question_understandability,llm_gpt-4.1-mini,llm_gpt-5.1,100,98,2,0.98,-0.0101
Q2_question_fluency_reuse,human_aniruh,human_nfonsam,100,46,54,0.46,0.1335
Q2_question_fluency_reuse,human_aniruh,llm_gemini-2.5-pro,100,49,51,0.49,0.1234
Q2_question_fluency_reuse,human_aniruh,llm_gpt-4.1-mini,100,40,60,0.4,0.0023
Q2_question_fluency_reuse,human_aniruh,llm_gpt-5.1,100,51,49,0.51,0.1155
Q2_question_fluency_reuse,human_nfonsam,llm_gemini-2.5-pro,100,43,57,0.43,0.0483
Q2_question_fluency_reuse,human_nfonsam,llm_gpt-4.1-mini,100,72,28,0.72,0.0274
Q2_question_fluency_reuse,human_nfonsam,llm_gpt-5.1,100,31,69,0.31,0.0653
Q2_question_fluency_reuse,llm_gemini-2.5-pro,llm_gpt-4.1-mini,100,43,57,0.43,0.0035
Q2_question_fluency_reuse,llm_gemini-2.5-pro,llm_gpt-5.1,100,53,47,0.53,0.0617
Q2_question_fluency_reuse,llm_gpt-4.1-mini,llm_gpt-5.1,100,20,80,0.2,0.0112
Q3_evidence_dependency,human_aniruh,human_nfonsam,100,87,13,0.87,-0.0156
Q3_evidence_dependency,human_aniruh,llm_gemini-2.5-pro,100,86,14,0.86,-0.0145
Q3_evidence_dependency,human_aniruh,llm_gpt-4.1-mini,100,92,8,0.92,-0.0139
Q3_evidence_dependency,human_aniruh,llm_gpt-5.1,100,74,26,0.74,-0.0168
Q3_evidence_dependency,human_nfonsam,llm_gemini-2.5-pro,100,76,24,0.76,-0.0563
Q3_evidence_dependency,human_nfonsam,llm_gpt-4.1-mini,100,81,19,0.81,-0.0722
Q3_evidence_dependency,human_nfonsam,llm_gpt-5.1,100,66,34,0.66,-0.0533
Q3_evidence_dependency,llm_gemini-2.5-pro,llm_gpt-4.1-mini,100,90,10,0.9,0.465
Q3_evidence_dependency,llm_gemini-2.5-pro,llm_gpt-5.1,100,82,18,0.82,0.458
Q3_evidence_dependency,llm_gpt-4.1-mini,llm_gpt-5.1,100,78,22,0.78,0.2497
