qa_id,question,Q1_question_understandability_agreement_type,Q1_question_understandability_majority_label,Q1_question_understandability__human_aniruh,Q1_question_understandability__human_nfonsam,Q1_question_understandability__llm_gemini-2.5-pro,Q1_question_understandability__llm_gpt-4.1-mini,Q1_question_understandability__llm_gpt-5.1,Q2_question_fluency_reuse_agreement_type,Q2_question_fluency_reuse_majority_label,Q2_question_fluency_reuse__human_aniruh,Q2_question_fluency_reuse__human_nfonsam,Q2_question_fluency_reuse__llm_gemini-2.5-pro,Q2_question_fluency_reuse__llm_gpt-4.1-mini,Q2_question_fluency_reuse__llm_gpt-5.1,Q3_evidence_dependency_agreement_type,Q3_evidence_dependency_majority_label,Q3_evidence_dependency__human_aniruh,Q3_evidence_dependency__human_nfonsam,Q3_evidence_dependency__llm_gemini-2.5-pro,Q3_evidence_dependency__llm_gpt-4.1-mini,Q3_evidence_dependency__llm_gpt-5.1
048e236039d09c7e,"If the Regulator tells a Reporting Entity that a reporting requirement applies and how long it must follow it, when does the Reporting Entity have to fill out MKT Form 10-1 every quarter, and what else might the Regulator include in that notice?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
05dc10be3be6dd06,"If an MTF lists Securities from an Exempt Offer that was made on its own platform, what controls does it need to (1) keep trading limited to the right people and (2) help users get the key information, and how does that fit with the Recognised Investment Exchange’s general rules about fair trading and access to disclosed information?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
09ed83603d5c9d13,"When preparing its Summary of Reserves and Resources, must a Petroleum Reporting Entity include the specified table in the prescribed form and within the stated timing window, and does that obligation apply if the Petroleum Reporting Entity is required to file SEC compliant Forms 10-K and 20-F Reports annually with the SEC?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
0bddd684a5a6da69,"When an Authorised Person is determining the credit risk weight to be used for Credit Risk Exposures based on credit assessments, what procedure must it follow to calculate risk-weighted assets for those exposures, and how does that procedure connect the exposure value to the credit risk weight used in the calculation?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,some_copied_acceptable,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,majority,target_only_sufficient,both_needed,both_needed,target_only_sufficient,target_only_sufficient,target_only_sufficient
0f560fde86dc4a4e,"When an Investigator needs access to a person’s business premises to inspect and copy documents, how can the Investigator compel entry through written notice, and what are the notice expectations regarding whether advance warning must be given (including when it may be appropriate not to give prior notice)?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,majority,both_needed,both_needed,source_only_sufficient,both_needed,both_needed,both_needed
1171eaecafc1ce10,"When an Applicant/Authorised Person is pursuing a change such as migrating an MTF to become a conventional Securities Recognised Investment Exchange, and the Regulator expects substantial additional costs or effort in dealing with the related application or authorisation, what fee consequences can be imposed and what engagement is recommended?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,some_copied_acceptable,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
12a98ee480c6eb4d,"For a Listed Entity that qualifies for admission to the Official List and has an acceptable profitability or revenue track record (or substantial tangible assets with readily ascertainable value), how does the Regulator’s decision affect whether the APP 7 restriction categories apply, and which parties are within scope of the application provision when Securities are (or will be) treated as Restricted Securities?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,too_much_copied_unnatural,mostly_natural_rephrased,some_copied_acceptable,mostly_natural_rephrased,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
13ac487b960f948c,"When an Authorised Person has a CR Exposure to a sovereign PSE in the UAE or another GCC jurisdiction, how should the firm determine whether it can treat that exposure like a central government/central bank exposure eligible for a 0% risk weight, including how the domestic-currency denomination and funding condition applies for individual Emirates of the UAE?",unanimous,yes,yes,yes,yes,yes,yes,majority,some_copied_acceptable,some_copied_acceptable,some_copied_acceptable,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
15e360fdadbfb19a,"When a Petroleum Reporting Entity prepares a disclosure under the Petroleum Reporting Standard, what is expected for non-mandatory requirements, and what must the entity include in the disclosure if it does not follow a non-mandatory requirement?",unanimous,yes,yes,yes,yes,yes,yes,unanimous,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
16c3ee4a53c1a9f6,"How should an Authorised Person determine whether it falls in Category 2 or Category 3C when its Financial Services Permission includes Providing Credit or Dealing in Investments as Principal (not as Matched Principal), and it also carries on Managing Assets with some Dealing in Investments as Agent that is wholly incidental to Managing Assets?",majority,yes,yes,partial_unclear,yes,yes,yes,majority,some_copied_acceptable,too_much_copied_unnatural,unclear,some_copied_acceptable,mostly_natural_rephrased,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
1b895eb922148ad3,"If an Authorised Person says its dealing is limited to acting only as Matched Principal, what category treatment applies to that limited dealing, and what does it have to do in practice to qualify as dealing in investments as a Matched Principal?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
1d401bad230c5d15,"If an Investigator needs to go into someone’s business premises to look at and copy documents for an investigation, can the Investigator make the Person Under Investigation (or someone else) allow entry by sending a written notice, and does the visit have to be during normal business hours and only for documents relevant to the investigation?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,majority,both_needed,both_needed,both_needed,both_needed,both_needed,target_only_sufficient
1e44cabdde5dba07,"When the Customer is not a Natural Person and the Customer and the Third Party Provider have agreed in writing to disapply the provisions governing withdrawal of consent, to what extent may the Customer still withdraw consent to a series of Third Party Transactions, and what is the authorisation status of previously consented but unexecuted Third Party Transactions at the time of withdrawal, taking into account the stated condition that applies to withdrawal?",majority,yes,yes,partial_unclear,yes,yes,partial_unclear,majority,some_copied_acceptable,some_copied_acceptable,too_much_copied_unnatural,some_copied_acceptable,mostly_natural_rephrased,too_much_copied_unnatural,majority,both_needed,both_needed,both_needed,both_needed,both_needed,target_only_sufficient
229b60d52a727226,"When an Authorised Person engaged in regulated activities in relation to Virtual Assets is required to hold regulatory capital in a manner consistent with the requirements applicable to a Recognised Investment Exchange, what form must that regulatory capital take, and what minimum capital amounts must a Recognised Investment Exchange hold (including any buffer that may be varied by the Regulator)?",majority,yes,yes,partial_unclear,yes,yes,yes,majority,some_copied_acceptable,mostly_natural_rephrased,some_copied_acceptable,some_copied_acceptable,mostly_natural_rephrased,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
254547bc372b5cb1,"When designing the strategy’s system for controlling Liquidity Risk, what capabilities and governance features must it include so that the Authorised Person can both implement the Liquidity Risk requirements and allow the Governing Body and senior management to oversee compliance with limits and operating procedures?",unanimous,yes,yes,yes,yes,yes,yes,majority,some_copied_acceptable,some_copied_acceptable,mostly_natural_rephrased,some_copied_acceptable,mostly_natural_rephrased,some_copied_acceptable,majority,both_needed,both_needed,both_needed,both_needed,source_only_sufficient,source_only_sufficient
27b02d45aee84f3f,"If an Authorised Person is in Category 1, 2 or 5 and also manages a PSIA that is an Unrestricted PSIA, what must it not do regarding (1) Financial Group Large Exposures (including the Financial Group’s PSIAus) compared to the Group’s Tier 1 and (2) exposures to a Counterparty or related counterparty groups compared to its Capital Resources, depending on how the exposure is financed?",majority,yes,yes,partial_unclear,yes,yes,yes,majority,some_copied_acceptable,some_copied_acceptable,too_much_copied_unnatural,too_much_copied_unnatural,some_copied_acceptable,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
2b8ee19ae20c88cf,What must a Third Party Provider do to ensure its professional indemnity insurance both remains adequate to reimburse Customers if operational risk events occur and also stays above the required threshold tied to recent Third Party Transactions?,unanimous,yes,yes,yes,yes,yes,yes,unanimous,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
301d53276af79a92,"If the Fund Manager of a Passported Fund has to tell the Regulator about a material event as soon as practicable (and within the stated deadline once it becomes aware), what details must be included with the notice, and what extra document is required if the Prospectus has been amended or replaced?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,mostly_natural_rephrased,mostly_natural_rephrased,majority,both_needed,both_needed,target_only_sufficient,source_only_sufficient,both_needed,source_only_sufficient
343c7ec7230ec8a7,"If a Listed Entity had an approval for Securities but that approval later lapses, can it still treat those Securities as approved when working out Relevant Issues and whether it must not issue more Equity Securities without approval from holders of Ordinary Securities?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,mostly_natural_rephrased,mostly_natural_rephrased,majority,both_needed,both_needed,source_only_sufficient,both_needed,both_needed,both_needed
35357c6e2759b1b1,"If a Fund Manager of a Domestic Fund wants to do the Fund’s administration work itself, what must be kept separate, and what does the Fund Manager still have to do to make sure the Fund’s operating risks are properly dealt with (including considering Fund Administrators, Eligible Custodians, and any prime brokers)?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,mostly_natural_rephrased,some_copied_acceptable,unanimous,both_needed,both_needed,both_needed,both_needed,both_needed,both_needed
355cf8097915d2c8,"Before an Authorised Person offers OTC Leveraged Products to a Retail Client (or advises or makes arrangements for them), what assessment must be completed and what risk-understanding conclusion must be reached, given the expectation that the Authorised Person considers the Retail Client’s understanding of risks and the potential magnitude of losses before establishing a business relationship?",unanimous,yes,yes,yes,yes,yes,yes,majority,some_copied_acceptable,some_copied_acceptable,too_much_copied_unnatural,some_copied_acceptable,mostly_natural_rephrased,some_copied_acceptable,majority,both_needed,both_needed,target_only_sufficient,both_needed,both_needed,target_only_sufficient
3680a608c39c6edf,"When an Authorised Person (and its participants) intends to use a delivery and/or storage facility for Accepted Spot Commodities in a jurisdiction outside the ADGM, what conditions must that facility satisfy so it can be treated as an eligible “appropriate jurisdiction” facility, and what ongoing compliance features must be in place?",unanimous,yes,yes,yes,yes,yes,yes,majority,mostly_natural_rephrased,some_copied_acceptable,mostly_natural_rephrased,some_copied_acceptable,mostly_natural_rephrased,mostly_natural_rephrased,majority,both_needed,both_needed,both_needed,both_needed,both_needed,target_only_sufficient
