qa_id,question,expected_answer,source_text,target_text,method,split,persona,corpus,sampling_regime,source_passage_pid,target_passage_pid,source_doc_id,target_doc_id,source_passage_label,target_passage_label,reference_text,reference_type,ReferenceText,ReferenceType,annotation_id,original_item_id,source_path,question_validity_clarity,question_fluency_naturalness,source_target_evidence_dependency,comment
51cefb12bc2986e7,"When the Regulator receives the relevant notice that would trigger informing Host Regulator(s) of an intent to use passporting procedures, in what circumstances must the Regulator refrain from sending that notice, and how does that affect the subsequent steps of publishing the Passported Fund’s details and notifying the Fund Manager once Host Regulator confirmation is received?","The Regulator’s obligation to notify Host Regulator(s) of its intent to use the passporting procedures is conditional: it must not send that notice if it considers the Fund Manager or the Private Fund is not compliant, or may become non-compliant, with applicable legislation (including these Rules), or if refraining is necessary and appropriate to advance one or more of the Regulator’s objectives. [#SRC:2f9bc2f5-72a6-45ee-8ec3-fac8a19ab60c] Where those conditions apply, the Regulator is required to refrain from transmitting the notice that would otherwise be sent within five Business Days of receiving the triggering notice, even though the general process contemplates providing that intent notice to the Host Regulator(s) in each relevant Host Jurisdiction where the Passported Fund is intended to be Promoted. [#TGT:49f2d65b-c143-456c-8e45-d05767ba59c7] Because the later steps are expressly tied to receiving confirmation from the Host Regulator(s) that their Register of Passported Funds has been updated, the Regulator would only proceed to (i) publish the Passported Fund’s details on the Register of Passported Funds and (ii) notify the Fund Manager that registration is complete after such Host Regulator confirmation occurs. [#TGT:49f2d65b-c143-456c-8e45-d05767ba59c7] In practical terms, if the Regulator must refrain from sending the intent notice due to the compliance/objectives grounds, the downstream publication and completion notification steps would not be reached through this pathway. [#SRC:2f9bc2f5-72a6-45ee-8ec3-fac8a19ab60c] [#TGT:49f2d65b-c143-456c-8e45-d05767ba59c7]","The Regulator shall not transmit a notice under Rule 3.1.4‎(a):
(a)	if it considers that the Fund Manager or the Private Fund does not comply with, or it has reasonable grounds for determining that the Fund Manager or the Private Fund may in the future not comply with, applicable legislation including these Rules; or
(b)	if it considers that it is necessary and appropriate to refrain from doing so in order to further one or more of its objectives.","The Regulator shall:
(a)	Within five Business Days of receipt of the notice set out in Rule 3.1.2, and subject to Rule 3.1.5, provide notice of the intent to use the passporting procedures under these Rules to the Host Regulator(s) in the relevant Host Jurisdiction(s) where the Passported Fund is intended to be Promoted; and
(b)	promptly following confirmation from the relevant Host Regulator(s) that its respective Register of Passported Funds has been updated to include the details of the Passported Fund:
(i)	publish the details of the Passported Fund on the Register of Passported Funds; and
(ii)	notify the Fund Manager that registration on the Register of Passported Funds is complete.",DPEL,,professional,ADGM,mixed_difficulty,2f9bc2f5-72a6-45ee-8ec3-fac8a19ab60c,49f2d65b-c143-456c-8e45-d05767ba59c7,,,3.1.5,3.1.4,,,,,HV0001,51cefb12bc2986e7,ObliQA-XRef_Out_Datasets/final_large_merged/ObliQA-XRef-ADGM-ALL/final.jsonl,yes,mostly_natural_rephrased,both_needed,
486dfdce3e64d73f,"When a Payment Order for an individual Payment Transaction is sent using a Payment Instrument issued under a Framework Contract, what information must the Payment Service Provider still provide immediately after initiation to the Payer (and where applicable the Payee), and what category of information may it omit because another Payment Service Provider has provided or will provide it under the Framework Contract?","For an individual Payment Transaction initiated by a Payment Order, the Payment Service Provider must, immediately after initiation, provide or make available specific transaction-level details to the Payer and, where applicable, to the Payee. [#SRC:a48a07c2-0731-4505-939e-07110e2af622] This includes confirmation that initiation with the Payer’s Payment Service Provider was successful, a reference that lets the Payer and Payee identify the Payment Transaction (including identifying the Payer and Payee and, where appropriate, information transferred with the Payment Order), the transaction amount in the currency used, any charges payable (and where applicable a breakdown in the Payment Order currency), exchange-rate information where currency conversion is used (including the actual rate or a reference to it and the post-conversion amount), the date the Payment Service Provider received the Payment Order, and the Credit Value Date. [#SRC:a48a07c2-0731-4505-939e-07110e2af622] However, where that Payment Order is transmitted via a Payment Instrument issued under a Framework Contract, the Payment Service Provider for that single Payment Transaction does not have to provide the general information that another Payment Service Provider has provided or will provide in relation to the Framework Contract. [#TGT:c337e2ea-0d58-45b9-970f-810639f88bf2]","Subject to Rule 19.5.3, a Payment Service Provider must provide or make available to the Payer and, where applicable, to the Payee, immediately after the initiation of a Payment Order:
(a)	confirmation of the successful initiation of the Payment Order with the Payer’s Payment Service Provider;
(b)	a reference enabling the Payer and the Payee to identify the Payment Transaction, including the Payer and Payee, and, where appropriate, any information transferred with the Payment Order;
(c)	the amount of the Payment Transaction, in the currency used in the Payment Order;
(d)	the amount of any charges payable in relation to the Payment Transaction and, where applicable, a breakdown of the amounts of such charges expressed in the currency of the Payment Order;
(e)	where an exchange rate is used in the Payment Transaction the actual rate used or a reference to it, and the amount of the Payment Transaction after that currency conversion;
(f)	the date on which the Payment Service Provider received the Payment Order; and
(g)	the Credit Value Date.","Where a Payment Order for an individual Payment Transaction is transmitted by way of a Payment Instrument issued under a Framework Contract, the Payment Service Provider in respect of that single Payment Transaction need not provide or make available under Rule 19.5.1 the general information which has been provided or will be provided under Section 19.2 by another Payment Service Provider in respect of a Framework Contract.",DPEL,,professional,ADGM,mixed_difficulty,a48a07c2-0731-4505-939e-07110e2af622,c337e2ea-0d58-45b9-970f-810639f88bf2,,,19.5.1,19.5.3,,,,,HV0002,486dfdce3e64d73f,ObliQA-XRef_Out_Datasets/final_large_merged/ObliQA-XRef-ADGM-ALL/final.jsonl,yes,some_copied_acceptable,both_needed,
1171eaecafc1ce10,"When an Applicant/Authorised Person is pursuing a change such as migrating an MTF to become a conventional Securities Recognised Investment Exchange, and the Regulator expects substantial additional costs or effort in dealing with the related application or authorisation, what fee consequences can be imposed and what engagement is recommended?","If the circumstances create a substantial additional regulatory burden or substantial additional costs/effort for the Regulator in handling the matter, the Regulator can require payment of an extra fee on top of other fees. [#SRC:43df6a6a-29a3-4dca-8203-57b209ce85cc] [#TGT:64a0df5a-e946-4496-9fd3-244340c2a080] This can arise where the Regulator expects to incur substantial additional costs or expend substantial additional effort in dealing with an application, authorisation, filing, or during on-going supervision. [#TGT:64a0df5a-e946-4496-9fd3-244340c2a080] In the specific example of migrating an MTF to become a conventional Securities Recognised Investment Exchange, the FSRA indicates that such a scenario can be one where additional fees may be imposed because of the added regulatory burden. [#SRC:43df6a6a-29a3-4dca-8203-57b209ce85cc] In those circumstances, the FSRA recommends that the Applicant/Authorised Person proactively discuss the fee implications with the FSRA as early as practicable, rather than waiting until later in the process. [#SRC:43df6a6a-29a3-4dca-8203-57b209ce85cc]","FEES
Cumulative application of Fees
Pursuant to FEES Rule 1.2.4, the FSRA reserves its right to impose additional fees in circumstances where a ‘substantial additional’ regulatory burden is imposed on FSRA. In such circumstances, including the migration of an MTF to become a conventional ‘Securities’ Recognised Investment Exchange, the FSRA recommends that the Applicant/Authorised Person discuss FEE implications with the FSRA as early as practicable.","Supplementary fees
The Regulator may require a Person to pay to the Regulator a supplementary fee in circumstances where it expects to incur substantial additional costs or expend substantial additional effort in dealing with an application, authorisation, filing or when conducting on-going supervision.",DPEL,,professional,ADGM,mixed_difficulty,43df6a6a-29a3-4dca-8203-57b209ce85cc,64a0df5a-e946-4496-9fd3-244340c2a080,,,187),1.2.4,,,,,HV0003,1171eaecafc1ce10,ObliQA-XRef_Out_Datasets/final_large_merged/ObliQA-XRef-ADGM-ALL/final.jsonl,yes,mostly_natural_rephrased,both_needed,
899e964325c9691b,"For a Customer that is not a Natural Person, if the Customer and the Third Party Provider have agreed in writing to change the time period for notifying unauthorised or incorrectly executed Payment Transactions, how does that interact with the Customer’s entitlement to redress when the Third Party Provider did not provide or make available information about the Third Party Transaction as required?","If the Customer is not a Natural Person, the Customer and the Third Party Provider can, by written agreement, set a different notification time period for unauthorised or incorrectly executed Payment Transactions for the purposes of the notification time period that would otherwise apply. [#SRC:10510c2c-99d3-4cba-bac5-61cda5d00d44] Separately, where the Third Party Provider has not provided or made available information about the Third Party Transaction in the required manner, the Customer remains entitled to redress even if the Customer did not notify the Third Party Provider within the notification time period that would otherwise be applicable. [#TGT:e0ee4cf0-d2ae-4d3b-8012-62c5be6043a7] Taken together, this means that a written agreement changing the notification time period does not remove the Customer’s ability to obtain redress in the specific circumstance where the Third Party Provider’s failure relates to providing or making available the required transaction information. [#SRC:10510c2c-99d3-4cba-bac5-61cda5d00d44] [#TGT:e0ee4cf0-d2ae-4d3b-8012-62c5be6043a7] In practice, the Customer’s entitlement to redress in that information-failure scenario applies even if the Customer misses the otherwise-applicable notification deadline, including where that deadline has been altered by written agreement for this type of Customer. [#SRC:10510c2c-99d3-4cba-bac5-61cda5d00d44] [#TGT:e0ee4cf0-d2ae-4d3b-8012-62c5be6043a7]","Where the Customer is not a Natural Person, the Customer and the Third Party Provider may agree in writing that the following Rules do not apply:
(a)	Rules 20.2.15 and 20.2.16 (charges for information);
(b)	Rule 20.7.3 and 20.7.4 (withdrawal of consent);
(c)	Rule 20.8.2 (revocation of a Payment Order);
(d)	Rules 20.10.1 and 20.10.2 (requests for refund);
(e)	Rule 20.11.1 (evidence on authentication and execution);
(f)	Rule 20.12.5 (liability for charges); and
the parties may agree that a different time period applies concerning unauthorised or incorrectly executed Payment Transactions for the purposes of Rule 20.10.1.","Where the Third Party Provider has failed to provide or make available information concerning the Third Party Transaction in accordance with Section 20.3, the Customer is entitled to redress even if the Customer has failed to notify the Third Party Provider within the time period set out in Rule 20.10.1.",DPEL,,professional,ADGM,mixed_difficulty,10510c2c-99d3-4cba-bac5-61cda5d00d44,e0ee4cf0-d2ae-4d3b-8012-62c5be6043a7,,,20.4.1,20.10.2,,,,,HV0004,899e964325c9691b,ObliQA-XRef_Out_Datasets/final_large_merged/ObliQA-XRef-ADGM-ALL/final.jsonl,yes,mostly_natural_rephrased,both_needed,
9d433957cee557b9,"When an Authorised Person wants to treat Exposures as collateralised using cash received under a CLN it issued, or using loans and Deposits of a Counterparty that are subject to an on balance sheet Netting agreement, what conditions must be satisfied before the Authorised Person can recognise the effects of CRM for that Collateral?","An Authorised Person may treat Exposures as collateralised only if the relevant CRM conditions are met, including where the collateral consists of cash received under a CLN issued by the Authorised Person or loans and Deposits of a Counterparty to or with the Authorised Person that are subject to an on balance sheet Netting agreement recognised for CRM purposes. [#SRC:558596ee-af40-4c07-8067-9c5c25eebaa5] Before recognising the effects of CRM of any such Collateral, the Authorised Person must ensure specific recognition requirements are satisfied. [#TGT:cb37e5c4-ed71-4523-8fb8-da4fbc7eecf1] These include having a legal mechanism that gives the Authorised Person timely rights to liquidate or take legal possession upon the Counterparty’s default/insolvency (and, if applicable, the custodian’s credit event), and taking all steps needed under applicable law to obtain and maintain an enforceable security interest (including registration where relevant) or to exercise netting/set-off rights for title transfer collateral. [#TGT:cb37e5c4-ed71-4523-8fb8-da4fbc7eecf1] The Authorised Person must also ensure there is no material positive correlation between Counterparty credit quality and Collateral value, exclude Securities issued by the Counterparty or any Closely Related Counterparty, implement procedures for timely liquidation that observe legal default conditions, and—if a custodian holds the Collateral—take reasonable steps to ensure segregation from the custodian’s own assets. [#TGT:cb37e5c4-ed71-4523-8fb8-da4fbc7eecf1]",An Authorised Person can only treat Exposures as collateralised provided the conditions of Rules 4.13.5 to 4.13.8 (relating to CRM) are met. Item (d) also includes cash received under a CLN issued by the Authorised Person and loans and Deposits of a Counterparty to or with the Authorised Person which are subject to an on balance sheet Netting agreement recognised under Section 4.13 (CRM).,"Requirements for Recognition of Collateral. An Authorised Person must ensure that the following requirements are complied with before it recognises the effects of CRM of any Collateral:
(a)	the legal mechanism by which Collateral is pledged, assigned or transferred must confer on the Authorised Person the right to liquidate or take legal possession of the Collateral, in a timely manner, in the event of the default, insolvency or bankruptcy (or one or more otherwise defined credit events set out in the transaction documentation) of the Counterparty (and, where applicable, of the custodian holding the Collateral);
(b)	the Authorised Person has taken all steps necessary to fulfil those requirements under the law applicable to the Authorised Person's interest in the Collateral for obtaining and maintaining an enforceable security interest by registering it with a registrar or for exercising a right to net or set off in relation to title transfer Collateral;
(c)	the credit quality of the Counterparty and the value of the Collateral do not have a material positive correlation;
(d)	Securities issued by the Counterparty or any Closely Related Counterparty are not eligible;
(e)	the Authorised Person has implemented procedures for the timely liquidation of Collateral to ensure that any legal conditions required for declaring default of Counterparty and liquidating the Collateral are observed, and that the Collateral can be liquidated promptly; and
(f)	where the Collateral is held by a custodian, the Authorised Person has taken reasonable steps to ensure that the custodian segregates the Collateral from its own assets.",DPEL,,professional,ADGM,mixed_difficulty,558596ee-af40-4c07-8067-9c5c25eebaa5,cb37e5c4-ed71-4523-8fb8-da4fbc7eecf1,,,APP4.A4.11.1.Guidance.2.,4.13.8,,,,,HV0005,9d433957cee557b9,ObliQA-XRef_Out_Datasets/final_large_merged/ObliQA-XRef-ADGM-ALL/final.jsonl,yes,some_copied_acceptable,both_needed,
8c6e94dd4640227e,"When an Authorised Person is considering a guarantee as credit risk mitigation for a credit risk exposure to a multilateral development bank, what conditions must be met for the guarantee to be eligible for recognition, and what risk weight must be applied to the exposure if the MDB is one of the qualifying institutions listed (for example, IBRD/IFC/MIGA within the World Bank Group)?","For a guarantee to be recognised as credit risk mitigation, the Authorised Person may only recognise its effects if the guarantor is within the permitted set of entities (including a central government or central bank, a PSE, qualifying banks and Securities firms, or another entity with an external credit assessment from a recognised credit rating agency mapping to Credit Quality Grade 3 or better). [#SRC:281505d3-a15a-449a-9095-dc247d0e2e5d] Separately, where the credit risk exposure is to a qualifying multilateral development bank in the specified list, the Authorised Person must apply a 0% risk weight to that credit risk exposure. [#TGT:aed2a764-3ad1-4646-bf24-f6416556ffb4] This means that, in the scenario described, the compliance analysis has two linked steps: first confirm the guarantor meets one of the eligibility categories for recognising the guarantee’s CRM effect; then, if the exposure is to a listed qualifying MDB (such as the World Bank Group entities IBRD, MIGA, and IFC), apply the mandated 0% risk weight to the exposure. [#SRC:281505d3-a15a-449a-9095-dc247d0e2e5d] [#TGT:aed2a764-3ad1-4646-bf24-f6416556ffb4]","An Authorised Person may recognise the effects of CRM of a guarantee only if it is provided by any of the following entities:
(a)	central government or central bank;
(b)	MDB referred to in Rule 4.12.8;
(c)	International Organisations referred to in Rule 4.12.9;
(d)	PSE;
(e)	banks and Securities firms which qualify for inclusion in bank asset class; or
(f)	any other entity that has an external credit assessment from a recognised credit rating agency that maps to a Credit Quality Grade 3 or better.","Multilateral development bank (MDB) asset class. An Authorised Person must apply a 0% risk weight to any CR Exposure to the qualifying MDBs set out below:
(a)	The World Bank Group comprised of the International Bank for Reconstruction and Development (IBRD), the Multilateral Investment Guarantee Agency (MIGA), and the International Finance Corporation (IFC);
(b)	The Asian Development Bank (ADB);
(c)	The African Development Bank (AfDB);
(d)	The European Bank for Reconstruction and Development (EBRD);
(e)	The Inter American Development Bank (IADB);
(f)	The European Investment Bank (EIB);
(g)	The European Investment Fund (EIF);
(h)	The Nordic Investment Bank (NIB);
(i)	The Caribbean Development Bank (CDB);
(j)	The Islamic Development Bank (IDB); and
(k)	The Council of Europe Development Bank (CEDB).",DPEL,,professional,ADGM,mixed_difficulty,281505d3-a15a-449a-9095-dc247d0e2e5d,aed2a764-3ad1-4646-bf24-f6416556ffb4,,,4.13.9.(1),4.12.8,,,,,HV0006,8c6e94dd4640227e,ObliQA-XRef_Out_Datasets/final_large_merged/ObliQA-XRef-ADGM-ALL/final.jsonl,yes,mostly_natural_rephrased,both_needed,
82d2843886eaf674,"When an annual designation fee is due partway through a calendar year, how should the payable amount be calculated and by when must the initial annual fee be paid to the Regulator?","If the annual designation fee becomes due during the calendar year, the amount payable is not the full-year amount; it is a portion calculated by reference to how many months remain until the end of that calendar year. [#SRC:94b3f85d-c033-41a3-a884-c873899c049f] In that same situation, the initial annual fee must still be paid in full (as calculated on that prorated basis) to the Regulator within twenty days from the date the fee becomes due. [#TGT:b8f50488-8fd2-4f32-a6c6-d841b3c60c37] Practically, this means you first determine the prorated portion by counting the months remaining to year-end, and then you ensure the resulting prorated amount is remitted to the Regulator no later than the twentieth day after the due date. [#SRC:94b3f85d-c033-41a3-a884-c873899c049f] [#TGT:b8f50488-8fd2-4f32-a6c6-d841b3c60c37] This timing-and-calculation approach applies specifically to the initial annual fee that is prorated for the remainder of the calendar year, distinguishing it from later annual fees that relate to a period commencing on 1 January. [#TGT:b8f50488-8fd2-4f32-a6c6-d841b3c60c37]","In accordance with Rule 1.2.2, for Rule 10.2.1(a) the portion due of the annual designation fee is to be based on the number of months remaining until the end of the calendar year.","In regard to fees payable on an annual basis pursuant to these Rules:
(a)	the initial annual fee must be paid in full to the Regulator within twenty days of the date on which the fee becomes due, prorated for the remainder of the calendar year; and
(b)	subsequent annual fees for the period commencing 1 January are payable in advance and must be paid in full to the Regulator on or before 31 January of the calendar year to which the fee relates.",DPEL,,professional,ADGM,mixed_difficulty,94b3f85d-c033-41a3-a884-c873899c049f,b8f50488-8fd2-4f32-a6c6-d841b3c60c37,,,10.2.1.Guidance,1.2.2,,,,,HV0007,82d2843886eaf674,ObliQA-XRef_Out_Datasets/final_large_merged/ObliQA-XRef-ADGM-ALL/final.jsonl,yes,mostly_natural_rephrased,both_needed,
536f2d2c37481d91,"When a PFP Operator publishes information for a PFP Prospect and later there is a material change, what must the PFP Operator do to update that published information and notify PFP Clients, and how does that interact with the PFP Operator’s record-keeping duties for disclosures and related transaction documentation?","A PFP Operator must treat a material change as triggering both an updating/notification obligation and a related retention obligation. Specifically, the PFP Operator must update the information it has published so that it reflects the material change, and it must also give PFP Clients notice of that material change within a reasonable timeframe after the change occurs. [#TGT:40149b11-dcb8-48a6-ab09-8d8c37923183] In parallel, the PFP Operator must maintain and keep records for at least six years that include all disclosures made under the same disclosure framework used for the published information, as well as all documentation exchanged between PFP Client(s), any Body Corporate established by the PFP Operator to facilitate a transaction, and the PFP Prospect. [#SRC:94d5a3fb-7438-42dd-8c48-70588f3d0dd7] This means that, when the published information is updated and clients are notified, the operator should ensure those disclosure-related materials and the associated communications/documentation connected to the PFP Prospect are retained for the minimum six-year period. [#SRC:94d5a3fb-7438-42dd-8c48-70588f3d0dd7] The retention duty also extends to keeping a record of the due diligence undertaken under the applicable due diligence requirement. [#SRC:94d5a3fb-7438-42dd-8c48-70588f3d0dd7]","A PFP Operator must, for a minimum of six years, maintain and keep a record of:
(a)	all disclosures made in accordance with Rules 18.5.1 and 18.5.2;
(b)	all documentation between PFP Client(s), any Body Corporate established by the PFP Operator to facilitate a transaction, and the PFP Prospect; and
(c)	the due diligence undertaken in accordance with Rule 18.4.1.",A PFP Operator must ensure that the information published in accordance with Rule 18.5.1 is updated to reflect material changes and notice of such material change is provided to PFP Clients within a reasonable timeframe following such change.,DPEL,,professional,ADGM,mixed_difficulty,94d5a3fb-7438-42dd-8c48-70588f3d0dd7,40149b11-dcb8-48a6-ab09-8d8c37923183,,,18.7.1,18.5.2,,,,,HV0008,536f2d2c37481d91,ObliQA-XRef_Out_Datasets/final_large_merged/ObliQA-XRef-ADGM-ALL/final.jsonl,yes,mostly_natural_rephrased,both_needed,
85c7a88a32028ce9,"How should an Authorised Person determine whether it falls within Category 2 or Category 3A when its Financial Services Permission includes Dealing in Investments as Principal and/or Dealing in Investments as Agent, including the case where principal dealing is only as a Matched Principal and the case where agent dealing is wholly incidental to Managing an Investment Fund or Managing Assets?","To classify the Authorised Person, first distinguish whether any permission to deal as principal is unrestricted or limited to matched-principal dealing, and then confirm whether any exclusion from other categories applies. If the Financial Services Permission authorises Providing Credit or Dealing in Investments as Principal other than as Matched Principal, and the dealing activities are not limited in scope as described, the Authorised Person is treated as Category 2 provided it also does not meet the criteria of Categories 1 or 5. [#SRC:6737c8c3-06cb-4da7-bbcd-9e8650ecf66f] In contrast, Category 3A applies where the permission covers Dealing in Investments as Principal only as a Matched Principal and/or Dealing in Investments as Agent, and the Authorised Person does not meet the criteria of Categories 1, 2 or 5. [#TGT:458af530-cdd6-42ca-a3ca-ef81822f63df] As an explicit linkage, even if the Authorised Person has permission for Dealing in Investments as Agent (a Category 3A-type activity), where it carries out that agent dealing wholly incidentally to Managing an Investment Fund or Managing Assets, it is regarded as falling within Category 3C rather than being treated solely by reference to the Category 3A permission description. [#SRC:6737c8c3-06cb-4da7-bbcd-9e8650ecf66f] Accordingly, matched-principal-only dealing supports Category 3A unless Category 3C treatment applies due to wholly incidental agent dealing, while non-matched-principal dealing supports Category 2 if the other stated conditions are met. [#SRC:6737c8c3-06cb-4da7-bbcd-9e8650ecf66f] [#TGT:458af530-cdd6-42ca-a3ca-ef81822f63df]","An Authorised Person is in Category 2 if:
(a)	its Financial Services Permission authorises it to carry on one or both of the Regulated Activities of Providing Credit or Dealing in Investments as Principal (not as Matched Principal);
(b)	its dealing activities are not limited in scope as provided in Rule 1.3.3(1)(a)(i); and
(c)	it does not meet the criteria of Categories 1 or 5.
Category 3A
Guidance
A Category 3A Authorised Person may be authorised to conduct other Regulated Activities, but it is the authorisation for Dealing in Investments as Agent and the absence of authorisation for the activities specified in Rules 1.3.1 and 1.3.2 that are determinative of its belonging to Category 3A. Provided that an Authorised Person carries out the Regulated Activity of Dealing in Investments as Agent in a manner that is wholly incidental to the activity of Managing an Investment Fund or Managing Assets, the Authorised Person shall be regarded as falling within Category 3C.","An Authorised Person is in Category 3A if:
(a)	its Financial Services Permission authorises it to carry on one or more of the Regulated Activities of:
(i)	Dealing in Investments as Principal (where it does so only as a Matched Principal); or
(ii)	Dealing in Investments as Agent; and
(b)	it does not meet the criteria of Categories 1, 2 or 5.",DPEL,,professional,ADGM,mixed_difficulty,6737c8c3-06cb-4da7-bbcd-9e8650ecf66f,458af530-cdd6-42ca-a3ca-ef81822f63df,,,1.3.2,1.3.3.(1),,,,,HV0009,85c7a88a32028ce9,ObliQA-XRef_Out_Datasets/final_large_merged/ObliQA-XRef-ADGM-ALL/final.jsonl,yes,some_copied_acceptable,both_needed,
40f73736e9dd62ec,"When a Recognised Investment Exchange uses a Price Reporting Agency for establishing prices of a Financial Instrument, what ongoing review arrangements must the Recognised Investment Exchange maintain, and what specific operational and governance features must the Price Reporting Agency continue to satisfy for that review to be meaningful?","A Recognised Investment Exchange must maintain arrangements that periodically reassess whether the Price Reporting Agency still satisfies the applicable requirements, rather than treating the agency’s status as a one-time determination. [#SRC:7728ff1d-b279-4806-b3fd-13f3e8a34e79] To make that ongoing review meaningful, the Recognised Investment Exchange’s review should be capable of checking that the Price Reporting Agency continues to meet the required features, including: having public, fair, and non-discriminatory procedures for establishing prices of a Financial Instrument; providing sufficient transparency about methodology, calculations, and inputs so users can understand how a benchmark or index is derived and its limitations; and, where appropriate, prioritising concluded transactions while taking measures to reduce selective reporting. [#TGT:8a81e6cb-f1f1-4988-af97-f966f288017a] The review should also cover whether the agency remains independent and reputable, maintains a sound corporate governance framework, has arrangements to prevent staff conflicts of interest that could materially harm the price establishment process, and operates adequate mechanisms to resolve complaints about its assessment process and methodology. [#TGT:8a81e6cb-f1f1-4988-af97-f966f288017a] In practice, the Recognised Investment Exchange’s arrangements must be set up to revisit these criteria regularly to confirm continued compliance over time. [#SRC:7728ff1d-b279-4806-b3fd-13f3e8a34e79]",A Recognised Investment Exchange must have arrangements in place to regularly review whether a Price Reporting Agency continues to meet the requirements of Rule 3.11.2.,"For the purposes of Rules 3.11.1 and 3.11.3, a Price Reporting Agency must:
(a)	have fair and non-discriminatory procedures for establishing prices of a Financial Instrument, which are made public;
(b)	demonstrate adequate and appropriate transparency over the methodology, calculation and inputs to allow users to understand how the benchmark or index is derived and its potential limitations;
(c)	where appropriate, give priority to concluded transactions in making assessments and adopt measures to minimise selective reporting;
(d)	be of good standing and repute as an independent and objective price reporting agency or index provider;
(e)	have a sound corporate governance framework;
(f)	have adequate arrangements to avoid its staff having any conflicts of interest where such conflicts are, or are likely to have, a material adverse impact on a price establishment process; and
(g)	adequate complaint resolution mechanisms to resolve any complaints about its assessment process and methodology.",DPEL,,professional,ADGM,mixed_difficulty,7728ff1d-b279-4806-b3fd-13f3e8a34e79,8a81e6cb-f1f1-4988-af97-f966f288017a,,,3.11.3,3.11.2,,,,,HV0010,40f73736e9dd62ec,ObliQA-XRef_Out_Datasets/final_large_merged/ObliQA-XRef-ADGM-ALL/final.jsonl,yes,mostly_natural_rephrased,both_needed,
